Attock,647,Gujrat,3255
Bahawalnagar,658,Hafizabad,641
Bahawalpur,2457,Jhang,506
Bhakkar,495,Jhelum,656
Chakwal,345,Kasur,744
Chiniot,402,Khanewal,513
DG Khan,1892,Khushab,411
Faisalabad,6453,Lahore,56269
Gujranwala,4147,Lodharan,499
Layyah,563,RY Khan,1431
MB Din,601,Rajanpur,359
Mianwali,663,Rawalpindi,9881
Multan,7577,Sahiwal,939
Muzaffargarh,1146,Sargodha,1686
Narowal,327,Sheikhupura,1309
Nankana,555,Sialkot,2691
Okara,519,TT Singh,945
Pakpattan,377,Vehari,898
