Attock,174,Gujrat,1167,Layyah,23,RY Khan,580
Bahawalnagar,248,Hafizabad,480,MB Din,223,Rajanpur,83
Bahawalpur,708,Jhang,167,Mianwali,118,Rawalpindi,365
Bhakkar,151,Jhelum,325,Multan,3283,Sahiwal,256
Chakwal,56,Kasur,421,Muzaffargarh,617,Sargodha,640
Chiniot,154,Khanewal,129,Narowal,148,Sheikhupum,691
DG Khan,958,Khushab,168,Nankana,237,Sialkot,1338
Faisalabad,3317,Lahore,23720,Okar,131,TT Singh,231
Gujranwala,1989,Lodharan,215,Pakpattan,95,Vehari,279
